school_name,conf_abbr,class,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos,player
Kentucky,,,38,38,30.1,4.5,7.5,.599,4.5,7.5,.599,0.0,0.0,,4.1,6.2,.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0,,10.49,Bam Adebayo
Arizona,,,35,35,33.5,7.9,12.9,.612,7.5,11.9,.635,0.3,1.0,.343,4.0,5.5,.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,,6.84,Deandre Ayton
Duke,,,33,32,33.9,8.2,13.3,.614,7.5,11.6,.647,0.7,1.8,.397,4.0,6.3,.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,,9.70,Marvin Bagley III
Michigan State,,,35,34,21.8,3.4,6.6,.513,2.3,3.9,.596,1.1,2.7,.396,3.0,3.8,.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,,7.10,Jaren Jackson Jr.
Oklahoma,,,32,32,35.4,8.2,19.3,.422,4.5,9.1,.493,3.7,10.3,.360,7.4,8.6,.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,,10.56,Trae Young
Texas,,,30,29,30.2,4.9,9.0,.541,4.4,7.3,.603,0.5,1.7,.275,2.7,4.0,.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,,10.67,Mo Bamba
Duke,,,37,37,26.9,4.8,8.6,.561,4.3,7.4,.586,0.5,1.2,.413,3.4,4.5,.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,,9.70,Wendell Carter Jr.
Alabama,,,33,32,29.9,5.9,13.3,.447,4.6,9.3,.495,1.3,4.0,.336,5.9,7.6,.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,,10.64,Collin Sexton
Kentucky,,,37,37,32.4,5.3,11.9,.445,3.8,7.4,.509,1.5,4.5,.341,3.4,4.4,.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,,10.73,Kevin Knox
Villanova,,,116,73,27.3,3.9,7.5,.525,2.5,3.8,.645,1.5,3.7,.400,1.9,2.3,.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3,,9.74,Mikal Bridges
Kentucky,,,37,24,33.7,4.9,10.2,.485,4.3,8.6,.500,0.6,1.5,.404,3.9,4.7,.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,,10.73,Shai Gilgeous-Alexander
Michigan State,,,62,60,31.6,6.2,13.2,.470,4.2,7.8,.537,2.0,5.5,.375,2.5,3.2,.776,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17.0,,8.80,Miles Bridges
Boston College,,,90,90,34.6,6.2,13.9,.450,4.5,9.2,.488,1.8,4.7,.376,3.4,4.5,.755,0.5,3.3,3.8,3.3,1.3,0.3,2.9,2.5,17.7,,7.65,Jerome Robinson
Missouri,,,3,1,17.7,3.3,10.0,.333,2.3,6.7,.350,1.0,3.3,.300,2.3,3.0,.778,1.3,5.3,6.7,0.3,1.0,0.3,1.0,2.0,10.0,,9.19,Michael Porter Jr.
