player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Otto Porter Jr.,8-8,100.0%,60-88,68.2%,51.7%,65-161,40.4%,67.7%,43-101,42.6%,86.0%,64,38,32.5,4.6,9.2,0.498,3.7,6.8,0.55,0.9,2.4,0.355,2.8,3.8,0.751,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2.0,12.8
Cody Zeller,56-61,91.8%,149-238,62.6%,56.4%,50-115,43.5%,38.0%,0-2,0.0%,0%,72,72,29.0,5.5,9.4,0.592,5.5,9.3,0.594,0.0,0.0,0.0,5.0,6.6,0.756,2.6,4.7,7.3,1.3,1.2,1.2,2.0,2.5,16.1
Alex Len,67-71,94.4%,127-174,73.0%,63.8%,45-142,31.7%,60.0%,1-8,12.5%,100.0%,60,48,24.5,3.8,7.0,0.538,3.7,6.8,0.548,0.0,0.2,0.111,2.2,3.3,0.663,2.4,4.5,7.0,0.8,0.2,2.1,1.6,2.6,9.7
Nerlens Noel,48-50,96.0%,76-99,76.8%,52.6%,22-67,32.8%,40.9%,0-0,0.0%,0%,24,24,31.9,4.1,6.9,0.59,4.1,6.9,0.59,0.0,0.0,,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5
Ben McLemore,44-45,97.8%,90-126,71.4%,51.1%,35-100,35.0%,48.6%,73-174,42.0%,93.2%,37,36,32.2,5.4,10.8,0.495,3.4,6.1,0.553,2.0,4.7,0.42,3.2,3.7,0.87,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9,15.9
Kentavious Caldwell-Pope,15-16,93.8%,63-94,67.0%,34.9%,39-112,34.8%,38.5%,84-224,37.5%,58.3%,64,60,33.0,5.3,12.7,0.415,3.0,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,1.3,4.8,6.1,1.5,1.9,0.4,1.6,2.2,15.8
Trey Burke,9-9,100.0%,67-105,63.8%,19.4%,109-246,44.3%,7.3%,74-193,38.3%,48.6%,73,71,35.7,6.0,13.3,0.45,4.2,8.3,0.499,1.8,5.0,0.367,3.1,4.0,0.777,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9
CJ McCollum,3-3,100.0%,34-63,54.0%,38.2%,29-67,43.3%,13.8%,33-64,51.6%,66.7%,111,108,32.9,6.9,15.7,0.439,5.0,10.5,0.47,2.0,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3
Michael Carter-Williams,20-24,83.3%,86-146,58.9%,18.6%,34-126,27.0%,5.9%,35-121,28.9%,62.9%,66,40,25.4,2.7,6.8,0.398,2.1,4.8,0.438,0.6,2.1,0.307,2.2,3.2,0.679,0.9,2.7,3.6,5.2,2.0,0.4,2.3,1.8,8.2
Steven Adams,29-33,87.9%,85-129,65.9%,62.4%,15-46,32.6%,60.0%,0-0,0.0%,0%,32,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0.0,0.0,,1.0,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2
Kelly Olynyk,25-28,89.3%,152-212,71.7%,55.3%,48-91,52.7%,41.7%,9-29,31.0%,88.9%,101,31,17.2,3.3,5.6,0.594,3.1,4.9,0.634,0.2,0.7,0.333,2.0,2.8,0.709,1.5,3.1,4.6,1.1,0.5,0.5,1.4,2.0,8.9
Shabazz Muhammad,24-26,92.3%,79-124,63.7%,54.4%,82-226,36.3%,50.0%,40-105,38.1%,100.0%,32,30,30.8,6.3,14.3,0.443,5.1,10.9,0.463,1.3,3.3,0.377,4.0,5.6,0.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9
